symbol,name_zh,coverage_bucket,research_group,seed_status,seed_date,research_group_id,legacy_research_group,business_tags,industry_tags,taxonomy_version,taxonomy_effective_from,metadata_as_of
AAPL,苹果,科技与成长主题,平台与大型成长,curated_pending_live_validation,2026-09-15,platform-large-growth,平台与大型成长,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
MSFT,微软,科技与成长主题,平台与大型成长,curated_pending_live_validation,2026-09-15,platform-large-growth,平台与大型成长,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
AMZN,亚马逊,科技与成长主题,平台与大型成长,curated_pending_live_validation,2026-09-15,platform-large-growth,平台与大型成长,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
GOOGL,Alphabet,科技与成长主题,平台与大型成长,curated_pending_live_validation,2026-09-15,platform-large-growth,平台与大型成长,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
META,Meta,科技与成长主题,平台与大型成长,curated_pending_live_validation,2026-09-15,platform-large-growth,平台与大型成长,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
TSLA,特斯拉,科技与成长主题,平台与大型成长,curated_pending_live_validation,2026-09-15,platform-large-growth,平台与大型成长,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
NFLX,奈飞,科技与成长主题,平台与大型成长,curated_pending_live_validation,2026-09-15,platform-large-growth,平台与大型成长,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
ORCL,甲骨文,科技与成长主题,平台与大型成长,curated_pending_live_validation,2026-09-15,platform-large-growth,平台与大型成长,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
NVDA,英伟达,科技与成长主题,半导体与设备,curated_pending_live_validation,2026-09-15,semiconductor-equipment,半导体与设备,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
AMD,AMD,科技与成长主题,半导体与设备,curated_pending_live_validation,2026-09-15,semiconductor-equipment,半导体与设备,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
AVGO,博通,科技与成长主题,半导体与设备,curated_pending_live_validation,2026-09-15,semiconductor-equipment,半导体与设备,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
MU,美光,科技与成长主题,存储与内存,curated_pending_live_validation,2026-09-15,storage-memory,半导体与设备,DRAM|HBM|NAND|SSD,半导体|存储与内存,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
INTC,英特尔,科技与成长主题,半导体与设备,curated_pending_live_validation,2026-09-15,semiconductor-equipment,半导体与设备,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
TSM,台积电,科技与成长主题,半导体与设备,curated_pending_live_validation,2026-09-15,semiconductor-equipment,半导体与设备,,,research-taxonomy-20260915-v1.1,2026-09-15,2026-09-15
